chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
11	NC_000011.10	GRAMD1B	57476	CCDS66253.1	Public	+	123526148	123622594	[123526148-123526170, 123577366-123577576, 123578409-123578429, 123584311-123584331, 123594081-123594165, 123594734-123594837, 123595941-123596036, 123600467-123600547, 123603425-123603540, 123605321-123605477, 123606608-123606797, 123608658-123608801, 123609794-123609912, 123610195-123610337, 123612760-123612863, 123613454-123613657, 123614744-123614834, 123618344-123618355, 123618692-123618799, 123619106-123619223, 123622505-123622594]	Identical	CCDS66253.1_CHR11	2238	0	0	2235-	749	7	3	14	6	8	13	19	16	3	30	2	11	12	10	6	24	12	6	17	18	17	5	1	10	24	4	7	10	4		6	6	4	15	8	7	24	22	24	29	7	2	22	4	8	18	5	7	14	11	29	2	30	5		8	2	7	11		37	19	21	13	
16	NC_000016.10	TSC2	7249	CCDS10459.1	Public	+	2048615	2088609	[2048615-2048752, 2050399-2050485, 2053341-2053451, 2054295-2054439, 2055401-2055518, 2056195-2056243, 2056643-2056768, 2057104-2057177, 2058746-2058872, 2060669-2060812, 2061870-2062007, 2062496-2062599, 2062971-2063052, 2064271-2064426, 2065518-2065634, 2070455-2070577, 2071509-2071615, 2071783-2071933, 2072240-2072362, 2072848-2072982, 2074199-2074388, 2075798-2075891, 2076067-2076169, 2076490-2076584, 2079031-2079195, 2079275-2079427, 2079556-2079668, 2080164-2080376, 2081594-2081797, 2082435-2082503, 2083694-2083815, 2084227-2084714, 2084950-2085025, 2085229-2085321, 2086192-2086378, 2086731-2086870, 2087862-2087940, 2088047-2088138, 2088226-2088324, 2088445-2088609]	Identical	CCDS10459.1_CHR16	5295	0	0	5292-	1768	12	4	11	24	22	23	41	16	8	63	5	33	15	54	11	61	10	8	40	34	17	7	1	13	130	15	2	40	20		12	23	16	74	20	19	20	76	38	51	28	22	65	21	12	39	19	16	16	29	68	4	65	3		11	19	10	11	1	98	37	44	38	
12	NC_000012.12	ARHGAP9	64333	CCDS8941.2	Public	-	57472516	57479405	[57472516-57472687, 57473602-57473707, 57474041-57474175, 57474422-57474475, 57474625-57474702, 57474874-57474972, 57475290-57475397, 57475482-57475614, 57475832-57475930, 57476070-57476165, 57476363-57476453, 57476589-57476650, 57476870-57476962, 57477155-57477268, 57477458-57477679, 57478539-57478756, 57479090-57479405]	Identical	CCDS8941.2_CHR12	2196	0	0	2193-	735	4	3	4	8	15	22	16	7	8	18	5	18	13	17	11	8	9	6	13	9	3	7	1	4	48	6	7	10	10		8	10		16	6	9	18	22	12	23	17	8	19	7	9	26	22	9	12	8	32	7	20	5		5	10	7	6		30	5	25	9	
8	NC_000008.11	MCMDC2	157777	CCDS47869.1	Public	+	66874140	66901351	[66874140-66874233, 66874325-66874455, 66874526-66874585, 66877348-66877543, 66878573-66878695, 66878814-66878918, 66880848-66880973, 66883756-66883993, 66890864-66891069, 66896169-66896335, 66896779-66896958, 66901205-66901351]	Identical	CCDS47869.1_CHR8	1773	0	0	1770-	594	11	4	20	9	4	1	10	14	8	14	17		2	4	14	7	17	23	5	10	20	1		2	9	14	17	6	13		15		9	4		12	20	9	5	8	9	2	3	27	18	5	8	20	20	5	12	11	7	11	1	15	17	4	9	5	7	4	8	5	
X	NC_000023.11	IL3RA	3563	CCDS14113.1	Public	+	1341765	1382464	[1341765-1341828, 1345315-1345433, 1348430-1348544, 1352099-1352231, 1352321-1352505, 1356220-1356335, 1358860-1358886, 1365137-1365251, 1378658-1378763, 1381022-1381103, 1382390-1382464]	Identical	CCDS14113.1_CHRX	1137	0	0	1134-	382	8	4	6	6	4	4	12	6	4	8	3	3	10	5	3	13	4	3	7	9	8	2	1	8	17	9	6	10	4		2	2	2	11	1	3	6	12	11	8	5	5	6	6	4	7	6	1	6	4	16	2	12	2		5	7	3	3	4	12	6	8	4	
7	NC_000007.14	CCL24	6369	CCDS34670.1	Public	-	75811795	75813714	[75811795-75811963, 75813305-75813422, 75813642-75813714]	Identical	CCDS34670.1_CHR7	360	0	0	357-	123	2			4			3	1	1	10	1		1	6	1	4		1	6	4		1		1	4	2	1	6		1	2		1	3		2		4	4	1	5		3	1	2	3				4	7		2			1	3			1	2	2	4	2	
20	NC_000020.11	BPIFA1	51297	CCDS13217.1	Public	+	33237711	33242526	[33237711-33237870, 33238054-33238213, 33239802-33239909, 33240232-33240384, 33241384-33241468, 33242055-33242118, 33242486-33242526]	Identical	CCDS13217.1_CHR20	771	0	0	768-	260		1	7	2	5		5	3	6	6	2			13	9	10	4	7	5	3	2			2	27	2	4	9	8	1	2	1	3	4		3	3	10	1	10	7		1	3	10	9	1	1	3	2	8	1	9	2		1	3	2	2		3	1	5	3	
8	NC_000008.11	PTK2	5747	CCDS6381.1	Public	-	140659465	140890736	[140659465-140659677, 140664916-140664996, 140668268-140668423, 140674297-140674403, 140675459-140675498, 140686631-140686693, 140700890-140701021, 140702569-140702706, 140706118-140706204, 140717597-140717708, 140735250-140735454, 140739017-140739106, 140743229-140743329, 140744651-140744766, 140746759-140746859, 140752231-140752315, 140761164-140761261, 140764233-140764289, 140789473-140789525, 140793353-140793383, 140800458-140800575, 140803542-140803649, 140818276-140818353, 140818879-140819019, 140830471-140830525, 140846259-140846321, 140846598-140846677, 140864311-140864398, 140879470-140879636, 140890542-140890736]	Identical	CCDS6381.1_CHR8	3159	0	0	3156-	1056	8	5	22	6	6	4	14	18	19	31	12	9	14	13	22	21	14	25	14	34	32	11	1	5	29	20	24	14	19		28	5	5	20	4	12	42	28	6	9	22	2	10	24	18	15	27	15	30	13	30	14	23	11		23	16	14	19	11	42	15	21	13	
12	NC_000012.12	PHETA1	144717	CCDS53833.1	Public	-	111362677	111365565	[111362677-111363462, 111365563-111365565]	Identical	CCDS53833.1_CHR12	789	0	0	786-	266	1	4	2	3	5	9	2		2	5		9	4	11	1	3	2	1	5	6			1		22			6	1		5	5		26	2	2		9	10	3	5	5	4	1		18	8		1	1	9		5			1	2		2	1	17	6	6	4	
2	NC_000002.12	ZNF804A	91752	CCDS2291.1	Public	+	184598959	184939025	[184598959-184599069, 184866368-184866511, 184933602-184933732, 184935782-184939025]	Identical	CCDS2291.1_CHR2	3630	0	0	3627-	1213	23	2	56	9	6	3	28	25	7	31	14	2	5	4	17	13	35	17	16	19	74	5		2	18	24	32	11	14		32	1	26	9		30	63	9	14	14	29	1	19	27	23	10	38	29	33	12	35	8	17	30	1	20	27	27	27	11	33	13	11	19	
